,t,T,process
4106,9.741666666668166,304.75199999999995,DoE2_R2
4107,9.7500000000015,304.75199999999995,DoE2_R2
4108,9.75833333333484,304.75199999999995,DoE2_R2
4109,9.766666666668172,304.75199999999995,DoE2_R2
4110,9.775000000001505,304.75199999999995,DoE2_R2
4111,9.783333333334845,304.75199999999995,DoE2_R2
4112,9.791666666668178,304.75199999999995,DoE2_R2
4113,9.80000000000151,304.75199999999995,DoE2_R2
4114,9.808333333334843,304.75199999999995,DoE2_R2
4115,9.816666666668176,304.75199999999995,DoE2_R2
4116,9.825000000001516,304.673,DoE2_R2
4117,9.83333333333485,304.673,DoE2_R2
4118,9.841666666668182,304.673,DoE2_R2
4119,9.850000000001522,304.673,DoE2_R2
4120,9.858333333334855,304.673,DoE2_R2
4121,9.866666666668188,304.673,DoE2_R2
4122,9.87500000000152,304.60799999999995,DoE2_R2
4123,9.883333333334853,304.60799999999995,DoE2_R2
4124,9.891666666668193,304.60799999999995,DoE2_R2
4125,9.900000000001526,304.60799999999995,DoE2_R2
4126,9.908333333334859,304.60799999999995,DoE2_R2
4127,9.916666666668199,304.60799999999995,DoE2_R2
4128,9.925000000001532,304.60799999999995,DoE2_R2
4129,9.933333333334865,304.60799999999995,DoE2_R2
4130,9.941388888890422,304.60799999999995,DoE2_R2
4131,9.949722222223755,304.60799999999995,DoE2_R2
4132,9.95833333333487,304.671,DoE2_R2
4133,9.966388888890428,304.671,DoE2_R2
4134,9.974722222223761,304.671,DoE2_R2
4135,9.983333333334876,304.671,DoE2_R2
4136,9.991666666668209,304.671,DoE2_R2
4137,10.000000000001542,304.671,DoE2_R2
4138,10.008333333334875,304.671,DoE2_R2
4139,10.016666666668208,304.671,DoE2_R2
4140,10.025000000001548,304.671,DoE2_R2
4141,10.03333333333488,304.671,DoE2_R2
4142,10.041666666668213,304.671,DoE2_R2
4143,10.050000000001553,304.671,DoE2_R2
4144,10.058333333334886,304.671,DoE2_R2
4145,10.066666666668219,304.671,DoE2_R2
4146,10.075000000001552,304.671,DoE2_R2
4147,10.083333333334885,304.671,DoE2_R2
4148,10.091666666668225,304.671,DoE2_R2
4149,10.100000000001558,304.671,DoE2_R2
4150,10.10833333333489,304.671,DoE2_R2
4151,10.11666666666823,304.671,DoE2_R2
4152,10.125000000001563,304.671,DoE2_R2
4153,10.133333333334896,304.671,DoE2_R2
4154,10.141666666668229,304.671,DoE2_R2
4155,10.150000000001562,304.671,DoE2_R2
4156,10.158333333334902,304.671,DoE2_R2
4157,10.166666666668235,304.671,DoE2_R2
4158,10.175000000001567,304.671,DoE2_R2
4159,10.183333333334907,304.72999999999996,DoE2_R2
4160,10.19166666666824,304.72999999999996,DoE2_R2
4161,10.200000000001573,304.72999999999996,DoE2_R2
4162,10.208333333334906,304.72999999999996,DoE2_R2
4163,10.216666666668239,304.72999999999996,DoE2_R2
